Kraj,Okres,Obec,Kod obce,Vydané obálky,Odevzdané obálky,Platné hlasy,Obèanská demokratická strana,Øád národa - Vlastenecká unie,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,Èeská strana sociálnì demokratická,Radostné Èesko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická strana Èech a Moravy,Strana zelenıch,ROZUMNÍ - stop migraci a diktátu EU,Strana svobodnıch obèanù,Blok proti islamizaci - Obrana domova,Obèanská demokratická aliance,Èeská pirátská strana,OBÈANÉ 2011-SPRAVEDLNOST PRO LIDI,Referendum o EU	Referendum o Evropské unii,TOP 09,ANO 2011,Sdruení pro republiku,Køesanská a demokratická unie,Èeská strana národnì sociální,REALISTÉ,SPORTOVCI,Dìlnická strana sociální spravedlnosti,Svoboda a pøímá demokracie,Strana Práv Obèanù
Plzeòskı kraj,Klatovy,Myslív,556734,351,201,201,8,0,0,30,2,15,28,1,1,3,0,0,12,0,0,9,66,0,10,0,0,2,0,13,1
Plzeòskı kraj,Klatovy,Myslovice,541745,100,75,75,2,1,0,5,0,3,16,0,0,0,2,0,14,0,0,4,23,0,0,0,0,0,0,5,0
Plzeòskı kraj,Klatovy,Nalovské Hory,556751,982,559,557,45,1,0,40,0,59,55,2,4,8,0,0,35,0,0,24,189,1,35,0,3,3,3,48,2
Plzeòskı kraj,Klatovy,Nehodiv,578223,60,34,33,4,0,0,5,0,1,1,0,1,2,0,0,1,0,0,3,8,0,4,0,0,0,0,3,0
Plzeòskı kraj,Klatovy,Nezamyslice,578533,196,129,129,9,0,0,12,0,5,22,1,1,0,0,0,9,0,0,2,40,0,7,0,0,1,1,19,0
Plzeòskı kraj,Klatovy,Nezdice na Šumavì,556815,278,172,171,17,0,1,14,1,9,23,1,1,3,0,1,6,0,1,4,67,0,4,0,2,0,1,15,0
Plzeòskı kraj,Klatovy,Nırsko,556831,3748,2230,2219,251,4,0,174,4,200,216,21,31,28,3,6,211,1,2,55,666,4,89,3,13,13,6,209,9
Plzeòskı kraj,Klatovy,Obytce,541915,157,90,90,12,0,0,3,0,3,10,0,0,1,0,0,7,0,1,2,25,0,1,0,1,2,0,22,0
Plzeòskı kraj,Klatovy,Olšany,541958,181,142,142,7,0,0,17,0,18,9,5,3,0,0,0,10,0,0,7,41,0,7,0,2,1,0,15,0
Plzeòskı kraj,Klatovy,Ostøetice,578061,51,41,41,3,0,0,2,0,5,1,1,0,0,0,0,3,0,0,4,19,0,0,0,0,0,0,3,0
Plzeòskı kraj,Klatovy,Paèejov,556912,644,388,386,24,0,1,33,3,95,30,0,3,2,0,1,29,0,0,6,101,1,15,0,3,0,0,38,1
Plzeòskı kraj,Klatovy,Petrovice u Sušice,556921,513,347,345,55,1,0,22,2,17,22,4,4,5,0,0,31,0,2,11,91,0,29,0,0,0,1,47,1
Plzeòskı kraj,Klatovy,Plánice,556955,1351,827,818,65,2,0,84,3,44,88,8,6,14,0,0,74,2,0,26,290,5,25,0,4,3,3,72,0
Plzeòskı kraj,Klatovy,Podmokly,551686,125,74,74,8,0,0,3,0,5,9,0,4,1,0,0,4,0,0,2,26,0,3,0,0,0,0,7,2
Plzeòskı kraj,Klatovy,Poleò,541788,227,126,125,6,0,2,11,0,3,29,1,0,1,0,0,14,0,0,3,36,0,3,0,0,0,0,12,4
Plzeòskı kraj,Klatovy,Prášily,556084,131,81,79,11,0,0,5,0,6,3,2,0,0,0,0,6,0,0,13,21,0,5,0,0,0,0,6,1
Plzeòskı kraj,Klatovy,Pøedslav,557005,614,434,434,43,2,0,37,4,25,36,4,8,0,0,0,26,1,0,11,169,3,10,1,1,2,2,47,2
Plzeòskı kraj,Klatovy,Rabí,557013,420,273,269,23,0,0,22,0,12,28,2,7,1,0,1,43,0,0,3,83,0,15,1,1,1,0,25,1
Plzeòskı kraj,Klatovy,Rejštejn,557021,217,135,135,25,0,0,7,1,7,11,3,0,1,0,0,21,0,0,7,29,1,3,0,1,0,0,18,0
Plzeòskı kraj,Klatovy,Slatina,578436,89,70,70,6,0,0,8,0,5,6,1,0,0,0,0,11,0,0,2,26,0,0,0,1,0,0,4,0
Plzeòskı kraj,Klatovy,Sobìšice,557099,353,181,181,18,0,0,12,0,2,17,3,1,0,0,0,17,0,0,3,71,1,19,0,0,0,0,17,0
Plzeòskı kraj,Klatovy,Srní,557111,263,188,187,34,0,0,7,0,13,15,1,0,2,0,1,12,0,0,9,57,0,10,0,0,0,0,26,0
Plzeòskı kraj,Klatovy,Strašín,557129,276,162,160,19,0,0,9,0,8,19,1,0,0,0,1,8,0,3,7,57,0,1,0,0,0,1,25,1
Plzeòskı kraj,Klatovy,Stráov,557137,1073,688,688,75,3,2,60,0,32,53,1,3,4,1,2,37,1,1,20,252,0,54,0,2,2,6,70,7
Plzeòskı kraj,Klatovy,Sušice,557153,9096,5584,5562,756,12,2,443,9,179,425,62,61,44,5,7,678,3,6,215,1712,7,298,0,42,7,9,568,12
Plzeòskı kraj,Klatovy,Svéradice,557161,271,188,187,8,0,0,15,1,10,14,1,2,17,0,0,19,0,0,4,67,0,11,1,0,1,0,16,0
Plzeòskı kraj,Klatovy,Švihov,557200,1351,881,880,82,2,1,78,1,61,100,8,2,9,0,4,66,4,0,29,281,1,49,1,4,1,5,89,2
Plzeòskı kraj,Klatovy,Tuice,553522,69,55,55,1,0,0,7,0,2,4,0,1,0,0,0,3,0,0,1,20,0,5,0,0,0,1,10,0
Plzeòskı kraj,Klatovy,Tınec,541885,268,155,155,8,1,0,26,0,2,14,1,1,0,2,1,12,0,0,2,57,0,3,0,0,1,0,23,1
Plzeòskı kraj,Klatovy,Újezd u Plánice,578321,93,60,59,1,0,0,5,0,1,8,2,1,0,0,0,4,0,0,2,22,0,2,0,0,0,0,10,1
Plzeòskı kraj,Klatovy,Velhartice,557366,712,461,459,32,1,1,27,1,31,41,4,4,1,0,0,37,0,0,15,142,0,79,0,3,1,3,35,1
Plzeòskı kraj,Klatovy,Velké Hydèice,557374,207,123,123,4,1,0,13,0,5,6,2,1,1,1,0,14,0,0,3,54,0,12,0,2,0,0,4,0
Plzeòskı kraj,Klatovy,Velkı Bor,557382,446,285,285,17,0,0,52,0,19,12,6,5,3,0,0,24,0,0,9,92,0,15,0,3,0,1,26,1
Plzeòskı kraj,Klatovy,Vrhaveè,557455,718,514,512,51,2,1,59,3,31,29,6,4,7,0,1,54,1,0,35,170,0,13,0,2,0,2,39,2
Plzeòskı kraj,Klatovy,Vøeskovice,566055,247,138,138,21,0,0,18,0,6,8,0,4,5,0,0,13,0,0,8,25,1,8,0,1,1,0,19,0
Plzeòskı kraj,Klatovy,Zavlekov,557463,365,225,222,16,3,0,13,0,9,22,1,3,2,0,0,9,0,0,5,94,0,13,0,0,0,0,31,1
Plzeòskı kraj,Klatovy,Zborovy,578312,97,77,76,6,0,0,5,1,6,4,0,3,0,0,0,7,0,0,5,24,1,1,0,0,0,6,6,1
Plzeòskı kraj,Klatovy,elezná Ruda,557528,1382,892,878,230,1,0,49,2,31,40,16,5,10,0,3,102,0,0,55,205,0,20,0,4,11,1,90,3
Plzeòskı kraj,Klatovy,ihobce,557536,486,307,307,32,0,0,24,2,25,25,2,3,0,0,0,31,0,0,6,106,0,23,0,0,0,0,28,0
Plzeòskı kraj,Klatovy,ichovice,557544,552,337,337,17,2,0,36,0,15,24,3,9,3,0,0,29,0,0,22,108,2,15,0,0,0,1,51,0
